zone;week;min_level;max_level
france;1;0.320;0.790
france;2;0.306;0.772
france;3;0.292;0.754
france;4;0.278;0.736
france;5;0.264;0.718
france;6;0.250;0.700
france;7;0.233;0.667
france;8;0.215;0.635
france;9;0.198;0.603
france;10;0.180;0.570
france;11;0.175;0.568
france;12;0.170;0.565
france;13;0.165;0.563
france;14;0.160;0.560
france;15;0.172;0.544
france;16;0.184;0.528
france;17;0.196;0.512
france;18;0.208;0.496
france;19;0.220;0.480
france;20;0.247;0.537
france;21;0.275;0.595
france;22;0.302;0.652
france;23;0.330;0.710
france;24;0.395;0.735
france;25;0.460;0.760
france;26;0.525;0.785
france;27;0.590;0.810
france;28;0.600;0.822
france;29;0.610;0.834
france;30;0.620;0.846
france;31;0.630;0.858
france;32;0.640;0.870
france;33;0.637;0.877
france;34;0.635;0.885
france;35;0.633;0.893
france;36;0.630;0.900
france;37;0.625;0.900
france;38;0.620;0.900
france;39;0.615;0.900
france;40;0.610;0.900
france;41;0.598;0.902
france;42;0.586;0.904
france;43;0.574;0.906
france;44;0.562;0.908
france;45;0.550;0.910
france;46;0.515;0.912
france;47;0.480;0.915
france;48;0.445;0.917
france;49;0.410;0.920
france;50;0.388;0.888
france;51;0.366;0.857
france;52;0.344;0.825
france;53;0.322;0.793
iberian-peninsula;1;0.278;0.725
iberian-peninsula;2;0.278;0.734
iberian-peninsula;3;0.279;0.744
iberian-peninsula;4;0.279;0.754
iberian-peninsula;5;0.279;0.763
iberian-peninsula;6;0.281;0.763
iberian-peninsula;7;0.282;0.763
iberian-peninsula;8;0.283;0.764
iberian-peninsula;9;0.285;0.764
iberian-peninsula;10;0.301;0.767
iberian-peninsula;11;0.317;0.770
iberian-peninsula;12;0.332;0.772
iberian-peninsula;13;0.348;0.775
iberian-peninsula;14;0.364;0.778
iberian-peninsula;15;0.368;0.780
iberian-peninsula;16;0.372;0.782
iberian-peninsula;17;0.375;0.783
iberian-peninsula;18;0.379;0.785
iberian-peninsula;19;0.373;0.783
iberian-peninsula;20;0.367;0.781
iberian-peninsula;21;0.362;0.780
iberian-peninsula;22;0.356;0.778
iberian-peninsula;23;0.350;0.776
iberian-peninsula;24;0.338;0.759
iberian-peninsula;25;0.326;0.742
iberian-peninsula;26;0.314;0.724
iberian-peninsula;27;0.302;0.707
iberian-peninsula;28;0.293;0.689
iberian-peninsula;29;0.283;0.670
iberian-peninsula;30;0.274;0.652
iberian-peninsula;31;0.265;0.634
iberian-peninsula;32;0.262;0.625
iberian-peninsula;33;0.260;0.616
iberian-peninsula;34;0.257;0.608
iberian-peninsula;35;0.255;0.599
iberian-peninsula;36;0.252;0.590
iberian-peninsula;37;0.248;0.586
iberian-peninsula;38;0.244;0.582
iberian-peninsula;39;0.240;0.578
iberian-peninsula;40;0.236;0.574
iberian-peninsula;41;0.236;0.586
iberian-peninsula;42;0.236;0.598
iberian-peninsula;43;0.237;0.611
iberian-peninsula;44;0.237;0.623
iberian-peninsula;45;0.242;0.649
iberian-peninsula;46;0.247;0.675
iberian-peninsula;47;0.253;0.702
iberian-peninsula;48;0.258;0.728
iberian-peninsula;49;0.263;0.754
iberian-peninsula;50;0.266;0.748
iberian-peninsula;51;0.269;0.742
iberian-peninsula;52;0.272;0.737
iberian-peninsula;53;0.275;0.731
scandinavia;1;1.199;4.397
scandinavia;2;1.176;4.235
scandinavia;3;1.148;4.047
scandinavia;4;1.173;3.860
scandinavia;5;1.104;3.664
scandinavia;6;0.956;3.467
scandinavia;7;0.830;3.306
scandinavia;8;0.656;3.151
scandinavia;9;0.592;2.993
scandinavia;10;0.526;2.881
scandinavia;11;0.444;2.830
scandinavia;12;0.387;2.858
scandinavia;13;0.352;2.821
scandinavia;14;0.298;2.775
scandinavia;15;0.249;2.762
scandinavia;16;0.244;2.825
scandinavia;17;0.480;3.043
scandinavia;18;0.545;3.506
scandinavia;19;0.755;3.778
scandinavia;20;0.966;3.850
scandinavia;21;1.305;3.884
scandinavia;22;1.510;3.904
scandinavia;23;1.618;4.062
scandinavia;24;1.779;4.096
scandinavia;25;1.993;4.236
scandinavia;26;2.063;4.405
scandinavia;27;2.300;4.537
scandinavia;28;2.429;4.651
scandinavia;29;2.513;4.735
scandinavia;30;2.555;4.778
scandinavia;31;2.490;4.790
scandinavia;32;2.525;4.792
scandinavia;33;2.504;4.769
scandinavia;34;2.367;4.755
scandinavia;35;2.342;4.759
scandinavia;36;2.269;4.734
scandinavia;37;2.156;4.728
scandinavia;38;2.003;4.710
scandinavia;39;1.948;4.731
scandinavia;40;1.991;4.756
scandinavia;41;1.981;4.739
scandinavia;42;1.920;4.741
scandinavia;43;1.863;4.726
scandinavia;44;1.914;4.722
scandinavia;45;1.937;4.752
scandinavia;46;1.876;4.775
scandinavia;47;1.859;4.777
scandinavia;48;1.834;4.764
scandinavia;49;1.755;4.732
scandinavia;50;1.602;4.707
scandinavia;51;1.552;4.601
scandinavia;52;1.433;4.510
scandinavia;53;1.260;4.392
